mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.88,39.0,-1.0,20.0,-1002.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.9,39.0,2.0,18.0,-999.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.9,39.0,0.0,19.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.92,39.0,0.0,20.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.94,39.0,2.0,19.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.91,39.0,0.0,20.0,-996.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.89,39.0,1.0,21.0,-999.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.89,39.0,1.0,22.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.91,39.0,0.0,20.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.95,39.0,1.0,20.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.91,39.0,1.0,20.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.88,39.0,0.0,20.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.88,39.0,0.0,19.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.87,39.0,2.0,18.0,-1003.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.91,39.0,3.0,22.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.92,39.0,0.0,22.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.96,39.0,0.0,18.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.96,39.0,2.0,19.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,356.0,39.0,1.0,22.0,-999.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.95,39.0,2.0,19.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.97,39.0,0.0,17.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.99,39.0,0.0,21.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.95,39.0,3.0,21.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,356.01,39.0,1.0,20.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,356.0,39.0,0.0,18.0,-1004.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,356.0,39.0,1.0,25.0,-994.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,356.0,39.0,3.0,13.0,-997.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,356.0,39.0,-3.0,25.0,-1007.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,356.0,40.0,-9.0,5.0,-1002.0
-1,-100,-100,-100,"0,0,0",0,0,-99,0,0,0,75,77,10,0,77,356.0,40.0,12.0,9.0,-1000.0
-1,-100,-100,-100,"0,0,0",-1,0,-99,0,0,1,75,77,10,0,77,356.0,40.0,20.0,10.0,-1055.0
-1,-100,-100,-100,"0,0,0",1,0,-99,0,0,5,75,77,10,0,77,356.0,40.0,-3.0,26.0,-1220.0
-1,-100,-100,-100,"0,0,0",0,0,-99,0,0,7,75,77,18,10,77,356.44,40.0,3.0,-1.0,-1384.0
-1,-100,-100,-100,"0,0,0",0,0,-100,0,0,8,75,77,26,10,77,356.62,40.0,3.0,22.0,-1182.0
-1,-100,-100,-100,"0,0,0",1,2,-99,0,0,8,75,77,34,20,77,356.66,40.0,22.0,-37.0,-1029.0
-1,-100,-100,-100,"0,0,0",3,1,-99,0,0,7,75,77,39,30,77,356.57,40.0,52.0,-21.0,-961.0
-1,-100,-100,-100,"0,0,0",3,1,-99,0,0,6,75,77,46,40,77,356.53,40.0,-26.0,-30.0,-927.0
-1,-100,-100,-100,"0,0,0",1,2,-98,0,0,5,75,77,51,40,77,356.64,40.0,10.0,-52.0,-925.0
-1,-100,-100,-100,"0,0,0",0,2,-98,0,0,4,75,77,56,50,77,356.69,41.0,-16.0,-30.0,-874.0
-1,-100,-100,-100,"0,0,0",0,2,-99,0,0,3,75,78,59,50,77,356.74,41.0,1.0,-60.0,-904.0
-1,-100,-100,-100,"0,0,0",-2,2,-98,0,0,2,75,78,62,50,77,356.67,41.0,-12.0,-22.0,-958.0
-1,-100,-100,-100,"0,0,0",0,1,-98,0,0,1,75,78,64,50,77,356.74,41.0,-34.0,-8.0,-975.0
-1,-100,-100,-100,"0,0,0",0,1,-98,0,0,1,75,78,66,60,77,356.8,41.0,-36.0,-15.0,-984.0
-1,-100,-100,-100,"0,0,0",-1,0,-98,0,0,1,75,78,68,60,77,356.78,41.0,0.0,-33.0,-990.0
-1,-100,-100,-100,"0,0,0",-1,2,-98,0,0,1,75,78,71,60,77,356.83,41.0,-48.0,-7.0,-1017.0
-1,-100,-100,-100,"0,0,0",0,2,-98,0,0,1,75,78,73,60,77,356.88,41.0,-1.0,-21.0,-1027.0
-1,-100,-100,-100,"0,0,0",-1,1,-99,0,0,1,75,78,74,60,77,356.89,41.0,15.0,-35.0,-985.0
-1,-100,-100,-100,"0,0,0",-1,0,-99,0,0,1,75,78,76,60,77,356.8,42.0,9.0,-28.0,-1002.0
-1,-100,-100,-100,"0,0,0",0,0,-99,0,0,1,75,77,78,70,77,356.84,42.0,21.0,-16.0,-977.0
-1,-100,-100,-100,"0,0,0",0,2,-99,0,0,1,75,77,79,70,77,356.95,42.0,12.0,-34.0,-946.0
-1,-100,-100,-100,"0,0,0",0,2,-99,0,0,0,75,77,80,70,77,356.87,42.0,-14.0,-10.0,-980.0
-1,-100,-100,-100,"0,0,0",0,2,-99,0,0,0,75,77,81,70,77,356.92,42.0,3.0,-7.0,-989.0
-1,-100,-100,-100,"0,0,0",0,1,-98,0,0,0,75,77,81,70,77,356.92,42.0,-12.0,-3.0,-973.0
-1,-100,-100,-100,"0,0,0",0,0,-99,0,0,0,75,77,81,70,77,356.79,42.0,-28.0,-8.0,-1022.0
-1,-100,-100,-100,"0,0,0",-1,0,-99,0,0,0,75,77,80,70,77,356.85,42.0,-47.0,-18.0,-981.0
-1,-100,-100,-100,"0,0,0",-2,0,-98,0,0,0,75,77,80,70,77,356.89,42.0,-52.0,-32.0,-1013.0
-1,-100,-100,-100,"0,0,0",-2,0,-99,0,0,0,75,77,80,70,77,356.89,42.0,-35.0,-10.0,-973.0
-1,-100,-100,-100,"0,0,0",-3,1,-99,0,0,0,75,77,81,70,77,356.92,43.0,13.0,-33.0,-1004.0
-1,-100,-100,-100,"0,0,0",-3,1,-99,0,0,0,74,77,82,70,77,356.94,43.0,11.0,-23.0,-986.0
-1,-100,-100,-100,"0,0,0",-1,2,-99,0,0,0,74,77,82,70,77,356.84,43.0,24.0,-30.0,-1007.0
-1,-100,-100,-100,"0,0,0",0,2,-99,0,1,0,74,77,82,70,77,356.84,43.0,33.0,-14.0,-993.0
-1,-100,-100,-100,"0,0,0",1,2,-99,0,1,0,74,77,82,70,77,356.95,43.0,13.0,-35.0,-1001.0
-1,-100,-100,-100,"0,0,0",2,1,-98,0,1,0,74,77,83,70,77,356.84,43.0,-29.0,-8.0,-963.0
